corp_code,corp_name,stock_code,ceo_nm,induty_code,adres,hm_url,est_dt,acc_mt,updated_at
00350020,파인디앤씨,049120,"홍성천,김종찬(각자대표)",26211,충청남도 아산시  음봉면 연암산로 169 (주)파인디엔씨,www.finednc.co.kr,19990319,12,2026-07-09T22:24:59
00117382,디와이홀딩스,004510,"원종목, 원진",29162,경기도 화성시 동탄순환대로29길 25 (영천동) 2층,,19751105,12,2026-07-09T22:24:59
00125646,삼목에스폼,018310,엄석호,2511,경기도 안성시  미양면 안성맞춤대로 474-40,www.sammok.co.kr,19850607,12,2026-07-09T22:25:00
00131692,서흥,008490,양주환,2049,충청북도 청주시 흥덕구 오송읍 오송생명로 61 -,www.suheung.com,19730130,12,2026-07-09T22:25:00
00422284,메가스터디,072870,"손주은, 손은진(각자 대표이사)",581,"서울특별시 서초구 효령로 304 24층(서초동, 국제전자센터)",www.megastudyholdings.com,20000712,12,2026-07-09T22:25:00
00107677,비비안,002070,손영섭,14120,서울특별시 용산구  서빙고로51길 52,www.vivien.co.kr,19570614,12,2026-07-09T22:25:01
00234227,유진로봇,056080,박성주,292,인천광역시 연수구 하모니로187번길 33 송도동,www.yujinrobot.com,19931207,12,2026-07-09T22:25:01
00527464,에이치시티,072990,허 봉 재,72911,경기도 이천시 마장면 서이천로578번길 74,www.hct.co.kr,20000512,12,2026-07-09T22:25:02
00249982,솔본,035610,홍 기 태,715,"서울특별시 강남구  학동로95길 51 청담동,청담스포피아",www.solborn.co.kr,19940805,12,2026-07-09T22:25:02
00110608,DSR,155660,홍석빈,242,부산광역시 강서구 녹산산업중로192번길 7,www.dsr.com,19650401,12,2026-07-09T22:25:03
01059605,디와이파워,210540,박치웅,29241,경상남도 창원시 성산구 웅남로 812 (성주동),power.dy.co.kr,20141203,12,2026-07-09T22:25:03
00131328,두함지개발,016140,신석우,68112,"서울특별시 강남구 논현로76길 9 (역삼동, 강남빌딩) 4층",,19800415,12,2026-07-09T22:25:03
00540429,휴림로봇,090710,김봉관,29280,충청남도 천안시 서북구 직산읍 4산단6길 27 -,www.dstrobot.com,19981129,12,2026-07-09T22:25:03
00398808,디지털대성,068930,김희선,855,서울특별시 서초구  방배로 181 단우빌딩,www.digitaldaesung.com,20000310,12,2026-07-09T22:25:04
00124577,엠소닉,008120,구본현,26,경상북도 구미시 산동면 첨단기업3로 54-8 (봉산리),www.emsonic.com,19721013,12,2026-07-09T22:25:04
01344752,케어룸의료산업,327970,곽진태,27199,경상북도 경산시 와촌면 지식산업6로 62케어룸의료산업(주),ynbed.co.kr,20100611,12,2026-07-09T22:25:04
00252001,해원에스티,058480,안 양 순,24121,광주광역시 광산구 하남산단7번로 39,www.hwst.co.kr,19960603,12,2026-07-09T22:25:05
00265005,옴니시스템,057540,박혜린,272,경기도 여주군  가남면 연삼로 284,www.omnisystem.co.kr,19970217,12,2026-07-09T22:25:05
00626011,아이텍,119830,이장혁,739,경기도 화성시 동탄면 동탄산단4길 9-15 -,www.iteksemi.com,20050201,12,2026-07-09T22:25:05
00348034,액토즈소프트,052790,구오하이빈(Guo Haibin),5821,"서울특별시 중구 서애로 33 1층, 4층, 5층(필동3가,티엔에스빌딩)",www.actoz.com,19961029,12,2026-07-09T22:25:06
00832700,에이펙스인텍,207490,김권진,28422,경상북도 칠곡군 가산면 인동가산로 619-9,www.apexint.co.kr,19971103,12,2026-07-09T22:25:06
00761059,펌텍코리아,251970,"이재신, 이도훈",22232,인천광역시 부평구 부평대로329번길 46,www.pum-tech.co.kr,20010810,12,2026-07-09T22:25:06
00622787,바이오노트,377740,조병기,213,경기도 화성시 삼성1로4길 22,www.bionote.co.kr,20030328,12,2026-07-09T22:25:06
00136402,신송홀딩스,006880,조갑주,46201,서울특별시 영등포구 여의나루로 53-1,www.singsongholdings.com,19701105,12,2026-07-09T22:25:07
01436336,이베스트기업인수목적5호,349720,고병학,66199,서울특별시 영등포구 여의나루로 60 26층(여의도동),없음,20200214,12,2026-07-09T22:25:07
