corp_code,corp_name,year,report_code,fs_div,account_nm,amount
00105873,LG디스플레이,2025,11011,CFS,당기순이익,303807000000
00105873,LG디스플레이,2024,11011,CFS,매출원가,24039928000000
00105873,LG디스플레이,2024,11011,CFS,매출총이익,2575419000000
00105873,LG디스플레이,2023,11011,CFS,매출원가,20985643000000
00105873,LG디스플레이,2023,11011,CFS,매출총이익,345176000000
00105873,LG디스플레이,2023,11011,CFS,영업이익,-2510164000000
00105873,LG디스플레이,2023,11011,CFS,당기순이익,-2576729000000
00105873,LG디스플레이,2022,11011,CFS,매출원가,25027703000000
00105873,LG디스플레이,2022,11011,CFS,매출총이익,1124078000000
00105873,LG디스플레이,2022,11011,CFS,영업이익,-2085047000000
00105873,LG디스플레이,2022,11011,CFS,당기순이익,-3195585000000
00105873,LG디스플레이,2021,11011,CFS,매출원가,24572939000000
00105873,LG디스플레이,2021,11011,CFS,매출총이익,5305104000000
00105873,LG디스플레이,2021,11011,CFS,영업이익,2230608000000
00105873,LG디스플레이,2021,11011,CFS,당기순이익,1333544000000
00298447,아모텍,2025,11011,CFS,자산총계,353263201536
00298447,아모텍,2025,11011,CFS,부채총계,197078488358
00298447,아모텍,2025,11011,CFS,자본총계,156184713178
00298447,아모텍,2025,11011,CFS,매출액,253765089587
00298447,아모텍,2025,11011,CFS,매출원가,213856838616
00298447,아모텍,2025,11011,CFS,매출총이익,39908250971
00298447,아모텍,2025,11011,CFS,영업이익,5505372842
00298447,아모텍,2025,11011,CFS,당기순이익,7920105732
00298447,아모텍,2025,11011,CFS,영업활동현금흐름,16615684824
00298447,아모텍,2025,11011,CFS,투자활동현금흐름,-11652117010
00298447,아모텍,2025,11011,CFS,재무활동현금흐름,1055696058
00298447,아모텍,2024,11011,CFS,자산총계,355770344712
00298447,아모텍,2024,11011,CFS,부채총계,206566561373
00298447,아모텍,2024,11011,CFS,자본총계,149203783339
00298447,아모텍,2024,11011,CFS,매출액,229444552451
00298447,아모텍,2024,11011,CFS,매출원가,220615636154
00298447,아모텍,2024,11011,CFS,매출총이익,8828916297
00298447,아모텍,2024,11011,CFS,영업이익,-23900819524
00298447,아모텍,2024,11011,CFS,당기순이익,-19787284817
00298447,아모텍,2024,11011,CFS,영업활동현금흐름,6560716993
00298447,아모텍,2024,11011,CFS,투자활동현금흐름,-254414611
00298447,아모텍,2024,11011,CFS,재무활동현금흐름,-7701449953
00298447,아모텍,2023,11011,CFS,자산총계,376005719413
00298447,아모텍,2023,11011,CFS,부채총계,211048880134
00298447,아모텍,2023,11011,CFS,자본총계,164956839279
00298447,아모텍,2023,11011,CFS,매출액,186814458731
00298447,아모텍,2023,11011,CFS,매출원가,180295032476
00298447,아모텍,2023,11011,CFS,매출총이익,6519426255
00298447,아모텍,2023,11011,CFS,영업이익,-25972729250
00298447,아모텍,2023,11011,CFS,당기순이익,-14683054807
00298447,아모텍,2023,11011,CFS,영업활동현금흐름,3295371710
00298447,아모텍,2023,11011,CFS,투자활동현금흐름,-1652714163
00298447,아모텍,2023,11011,CFS,재무활동현금흐름,-16298517328
00298447,아모텍,2022,11011,CFS,자산총계,383992349085
00298447,아모텍,2022,11011,CFS,부채총계,207239226004
00298447,아모텍,2022,11011,CFS,자본총계,176753123081
00298447,아모텍,2022,11011,CFS,매출액,215714387212
00298447,아모텍,2022,11011,CFS,매출원가,187081443549
00298447,아모텍,2022,11011,CFS,매출총이익,28632943663
00298447,아모텍,2022,11011,CFS,영업이익,-4271806956
00298447,아모텍,2022,11011,CFS,당기순이익,-9209534492
00298447,아모텍,2022,11011,CFS,영업활동현금흐름,3418806508
00298447,아모텍,2022,11011,CFS,투자활동현금흐름,5228721239
00298447,아모텍,2022,11011,CFS,재무활동현금흐름,-25927209779
00298447,아모텍,2021,11011,CFS,자산총계,419533482297
00298447,아모텍,2021,11011,CFS,부채총계,234170631996
00298447,아모텍,2021,11011,CFS,자본총계,185362850301
00298447,아모텍,2021,11011,CFS,매출액,198577334943
00298447,아모텍,2021,11011,CFS,매출원가,183844137500
00298447,아모텍,2021,11011,CFS,매출총이익,14733197443
00298447,아모텍,2021,11011,CFS,영업이익,-23746702484
00298447,아모텍,2021,11011,CFS,당기순이익,-4669473459
00298447,아모텍,2021,11011,CFS,영업활동현금흐름,-1204000257
00298447,아모텍,2021,11011,CFS,투자활동현금흐름,13365332438
